axis,batch,n,k,v1_ms,v2_ms,v3_ms,library_tensorrt_topk_ms,library_cub_stable_segmented_sort_ms,library_cub_segmented_radix_sort_ms,winner,winner_ms
b_scale,1,4096,32,0.053264,0.0368432,0.0368912,0.024656,0.016448,0.0532544,library_cub_stable_segmented_sort,0.016448
b_scale,8,4096,32,0.0553632,0.03696,0.040952,0.0246592,0.0165264,0.0532608,library_cub_stable_segmented_sort,0.0165264
b_scale,32,4096,32,0.0779568,0.0574352,0.0614208,0.0246448,0.0177408,0.0533472,library_cub_stable_segmented_sort,0.0177408
b_scale,256,4096,32,0.369467,0.270224,0.274384,0.111749,0.0942256,0.204914,library_cub_stable_segmented_sort,0.0942256
b_scale,1024,4096,32,1.35244,0.971192,1.03968,0.393178,0.365851,0.998512,library_cub_stable_segmented_sort,0.365851
b_scale,2048,4096,32,2.69905,1.92121,2.06207,0.779067,0.720627,1.93712,library_cub_stable_segmented_sort,0.720627
irregular,64,4093,8,0.10704,0.0492256,0.0492608,0.0246176,0.0327968,0.0779264,library_tensorrt_topk,0.0246176
irregular,64,4093,32,0.118656,0.0840848,0.0901808,0.0410192,0.032792,0.0779408,library_cub_stable_segmented_sort,0.032792
irregular,64,8209,8,0.206954,0.0941088,0.0922576,0.0287408,0.137723,0.132763,library_tensorrt_topk,0.0287408
irregular,64,8209,32,0.206941,0.150222,0.159926,0.0600832,0.137933,0.132888,library_tensorrt_topk,0.0600832
irregular,64,32771,8,0.699117,0.272496,0.274469,0.0554896,0.421659,0.391957,library_tensorrt_topk,0.0554896
irregular,64,32771,32,0.703197,0.50857,0.546491,0.180088,0.412037,0.391718,library_tensorrt_topk,0.180088
irregular,64,65521,8,1.29812,0.519062,0.505794,0.09268,0.847744,0.85441,library_tensorrt_topk,0.09268
irregular,64,65521,32,1.32167,0.954379,1.02915,0.373027,0.853122,0.850374,library_tensorrt_topk,0.373027
irregular,64,100003,8,1.98082,0.773136,0.777346,0.127378,1.41582,1.43507,library_tensorrt_topk,0.127378
irregular,64,100003,32,2.00755,1.4417,1.55473,0.532834,1.41897,1.43823,library_tensorrt_topk,0.532834
irregular,64,262139,8,5.16791,2.01286,2.03979,0.264568,4.27826,4.03782,library_tensorrt_topk,0.264568
irregular,64,262139,32,5.24842,3.74133,4.00927,1.40777,4.28541,4.04683,library_tensorrt_topk,1.40777
k_scale,64,65536,1,1.20146,0.306902,0.305371,0.0132176,0.846818,0.849093,library_tensorrt_topk,0.0132176
k_scale,64,65536,4,1.27853,0.423008,0.42415,0.0369456,0.848085,0.83237,library_tensorrt_topk,0.0369456
n_scale,64,256,8,0.0226576,0.012368,0.0124048,0.0205008,0.0307776,0.0615568,v2,0.012368
n_scale,64,256,32,0.0206064,0.016392,0.0164752,0.0205808,0.030776,0.0615696,v2,0.016392
n_scale,64,512,8,0.0410832,0.0245648,0.0245872,0.0205504,0.0307248,0.0630992,library_tensorrt_topk,0.0205504
n_scale,64,512,32,0.0389952,0.0269472,0.0307184,0.0205696,0.03072,0.0631648,library_tensorrt_topk,0.0205696
n_scale,64,1024,8,0.0451728,0.0267328,0.0267216,0.0205616,0.0307392,0.0736464,library_tensorrt_topk,0.0205616
n_scale,64,1024,16,0.0452416,0.0287712,0.0287696,0.0207392,0.0307744,0.0736512,library_tensorrt_topk,0.0207392
n_scale,64,1024,32,0.0449504,0.0349088,0.0369472,0.0205552,0.0307616,0.0733104,library_tensorrt_topk,0.0205552
n_scale,64,2048,8,0.0656384,0.0348496,0.0348784,0.021368,0.0307728,0.0737408,library_tensorrt_topk,0.021368
n_scale,64,2048,32,0.0615504,0.0472,0.0508128,0.0213712,0.0307568,0.0737696,library_tensorrt_topk,0.0213712
n_scale,64,4096,8,0.106893,0.0491664,0.0492448,0.024632,0.0328176,0.0779472,library_tensorrt_topk,0.024632
n_scale,64,4096,16,0.108582,0.0574144,0.0577536,0.0410016,0.0328032,0.0779504,library_cub_stable_segmented_sort,0.0328032
