axis,batch,n,k,best_user,best_user_ms,v3_over_v2,tensorrt_ms,user_over_tensorrt,cub_stable_ms,user_over_cub_stable,overall_winner
b_scale,1,4096,32,v2,0.0368432,1.0013028184305381,0.024656,1.4942894224529526,0.016448,2.2399805447470817,library_cub_stable_segmented_sort
b_scale,8,4096,32,v2,0.03696,1.108008658008658,0.0246592,1.4988320788995588,0.0165264,2.236421725239617,library_cub_stable_segmented_sort
b_scale,32,4096,32,v2,0.0574352,1.0693929854862523,0.0246448,2.330520028565864,0.0177408,3.2374639249639245,library_cub_stable_segmented_sort
b_scale,256,4096,32,v2,0.270224,1.0153946355616081,0.111749,2.4181334956017504,0.0942256,2.867840586846887,library_cub_stable_segmented_sort
b_scale,1024,4096,32,v2,0.971192,1.0705195265199876,0.393178,2.4701076865948757,0.365851,2.6546107568381667,library_cub_stable_segmented_sort
b_scale,2048,4096,32,v2,1.92121,1.0733183774808583,0.779067,2.466039506229888,0.720627,2.6660255582985375,library_cub_stable_segmented_sort
irregular,64,4093,8,v2,0.0492256,1.0007150750828837,0.0246176,1.9996100350968413,0.0327968,1.5009269196994828,library_tensorrt_topk
irregular,64,4093,32,v2,0.0840848,1.0724982398721292,0.0410192,2.04988883254671,0.032792,2.5641863869236396,library_cub_stable_segmented_sort
irregular,64,8209,8,v3,0.0922576,0.9803291509401882,0.0287408,3.2099871959026887,0.137723,0.6698779434081452,library_tensorrt_topk
irregular,64,8209,32,v2,0.150222,1.0645977286948651,0.0600832,2.50023301022582,0.137933,1.089093980410779,library_tensorrt_topk
irregular,64,32771,8,v2,0.272496,1.0072404732546534,0.0554896,4.910758051959286,0.421659,0.6462473230738582,library_tensorrt_topk
irregular,64,32771,32,v2,0.50857,1.0745639734943075,0.180088,2.82400826262716,0.412037,1.23428235813774,library_tensorrt_topk
irregular,64,65521,8,v3,0.505794,0.974438506382667,0.09268,5.457423392317652,0.847744,0.5966353049977351,library_tensorrt_topk
irregular,64,65521,32,v2,0.954379,1.0783451857176238,0.373027,2.558471638782179,0.853122,1.1186899411807454,library_tensorrt_topk
irregular,64,100003,8,v2,0.773136,1.005445355021626,0.127378,6.0696195575374094,1.41582,0.5460694156036784,library_tensorrt_topk
irregular,64,100003,32,v2,1.4417,1.0784004994104182,0.532834,2.7057207310344307,1.41897,1.0160186614234268,library_tensorrt_topk
irregular,64,262139,8,v2,2.01286,1.0133789732023093,0.264568,7.608100752925522,4.27826,0.47048566473285863,library_tensorrt_topk
irregular,64,262139,32,v2,3.74133,1.0716162434214571,1.40777,2.657628731966159,4.28541,0.8730389857679896,library_tensorrt_topk
k_scale,64,65536,1,v3,0.305371,0.995011436875615,0.0132176,23.103362183754996,0.846818,0.36060995396885753,library_tensorrt_topk
k_scale,64,65536,4,v2,0.423008,1.0026997125349877,0.0369456,11.449482482352431,0.848085,0.498780193023105,library_tensorrt_topk
n_scale,64,256,8,v2,0.012368,1.0029754204398447,0.0205008,0.6032935300085851,0.0307776,0.401850696610522,v2
n_scale,64,256,32,v2,0.016392,1.0050756466569057,0.0205808,0.796470496773692,0.030776,0.5326228229789446,v2
n_scale,64,512,8,v2,0.0245648,1.0009118739008662,0.0205504,1.1953441295546559,0.0307248,0.7995104931521116,library_tensorrt_topk
n_scale,64,512,32,v2,0.0269472,1.1399477496734354,0.0205696,1.3100497822028625,0.03072,0.8771875,library_tensorrt_topk
n_scale,64,1024,8,v3,0.0267216,0.9995810390232225,0.0205616,1.299587580733017,0.0307392,0.8693004372267333,library_tensorrt_topk
n_scale,64,1024,16,v3,0.0287696,0.9999443888332777,0.0207392,1.3872087640796174,0.0307744,0.9348549443693459,library_tensorrt_topk
n_scale,64,1024,32,v2,0.0349088,1.058392153267944,0.0205552,1.6982953218650267,0.0307616,1.1348174347238114,library_tensorrt_topk
n_scale,64,2048,8,v2,0.0348496,1.0008264083375418,0.021368,1.6309247472856607,0.0307728,1.1324806322466594,library_tensorrt_topk
n_scale,64,2048,32,v2,0.0472,1.076542372881356,0.0213712,2.2085797709066406,0.0307568,1.5346199864745356,library_tensorrt_topk
n_scale,64,4096,8,v2,0.0491664,1.0015945849197827,0.024632,1.9960376745696653,0.0328176,1.4981717127395056,library_tensorrt_topk
n_scale,64,4096,16,v2,0.0574144,1.0059079255378442,0.0410016,1.4002965737922421,0.0328032,1.7502682665105844,library_cub_stable_segmented_sort
n_scale,64,4096,32,v2,0.0840064,1.0655378637818071,0.0410288,2.047498342627618,0.0328016,2.5610458026437732,library_cub_stable_segmented_sort
n_scale,64,8192,8,v2,0.0799712,1.000320115241487,0.0287472,2.7818778872377137,0.134931,0.5926821857097332,library_tensorrt_topk
n_scale,64,8192,32,v2,0.141294,1.0731312016079948,0.0596928,2.367019137986491,0.135061,1.0461495176253695,library_tensorrt_topk
n_scale,64,16384,8,v2,0.147546,1.0134330988301952,0.0370432,3.9830792156185217,0.213046,0.692554659557091,library_tensorrt_topk
n_scale,64,16384,16,v2,0.176294,1.0346012910252191,0.100506,1.7540644339641416,0.213163,0.8270384635232194,library_tensorrt_topk
n_scale,64,16384,32,v2,0.250112,1.081007708546571,0.100397,2.4912298176240326,0.212931,1.1746152509498382,library_tensorrt_topk
n_scale,64,32768,8,v2,0.26637,1.0076885535157862,0.0554208,4.806318205439113,0.428861,0.6211103364493391,library_tensorrt_topk
n_scale,64,32768,32,v2,0.509838,1.0199435899246427,0.180086,2.831080705884966,0.412304,1.2365584617175676,library_tensorrt_topk
n_scale,64,65536,8,v2,0.520786,1.0048657221968333,0.0922016,5.648340158956027,0.852981,0.6105481833710247,library_tensorrt_topk
n_scale,64,65536,16,v2,0.628498,1.0261257792387566,0.328656,1.9123277834574752,0.850784,0.7387280437807952,library_tensorrt_topk
n_scale,64,65536,32,v2,0.951438,1.07432118540567,0.370778,2.56605839612922,0.850754,1.1183467841467687,library_tensorrt_topk
n_scale,64,131072,8,v2,0.99595,1.00747025453085,0.143915,6.920404405378175,1.95017,0.5106990672608029,library_tensorrt_topk
n_scale,64,131072,32,v2,1.86336,1.0783423493044821,0.708501,2.6300033450905502,1.94504,0.9580060050178916,library_tensorrt_topk
n_scale,64,262144,8,v3,2.01581,0.9991177593068958,0.265155,7.602383511530992,4.27479,0.47155766716025815,library_tensorrt_topk
n_scale,64,262144,16,v2,2.53059,1.0250060262626501,0.935712,2.704453934543962,4.2653,0.5932970717182848,library_tensorrt_topk
n_scale,64,262144,32,v2,3.73753,1.075405414806035,1.39113,2.686686362884849,4.28143,0.8729630053510159,library_tensorrt_topk
n_scale,64,524288,8,v2,3.99371,1.00546359149763,0.46616,8.56725158743779,8.89972,0.4487455785125824,library_tensorrt_topk
n_scale,64,524288,32,v2,7.3928,1.0809206254734336,2.79822,2.6419652493370784,8.88221,0.8323153809693759,library_tensorrt_topk
n_scale,64,1048576,8,v2,7.92762,1.0094353664782116,0.793994,9.984483509950957,17.9589,0.44143126806207506,library_tensorrt_topk
n_scale,64,1048576,32,v2,14.5445,1.0813847158719792,5.53323,2.628573184198018,17.727,0.8204715969989281,library_tensorrt_topk
